"feature","importance"
"hemoglobin",786.229819022856
"height_cm",583.284378032092
"Gtp",546.999715297618
"triglyceride",454.654920291552
"serum_creatinine",271.49754475765
"HDL",250.831331171248
"weight_kg",247.208208691524
"id",241.722292074224
"waist_cm",240.951544773374
"LDL",232.646714599482
"Cholesterol",225.975232508423
"ALT",224.888834613545
"fasting_blood_sugar",205.473452922471
"systolic",193.115555734586
"AST",187.091876871515
"age",185.936602836635
"relaxation",181.584520468435
"eyesight_left",118.456311246944
"eyesight_right",115.932583388531
"dental_caries",43.3555448222779
"Urine_protein",6.47224404235535
"hearing_right",1.91646233520837
"hearing_left",1.76258724216696
