"model","accuracy","precision","recall","f1","auc"
"random_forest",0.8063,0.7228,0.7791,0.7499,0.8863
"logistic",0.7823,0.7159,0.6896,0.7025,0.87
"logistic_elastic_avg",0.7827,0.7161,0.6905,0.7031,0.87
"lasso",0.783,0.716,0.6923,0.704,0.8699
"elastic_net",0.7823,0.7155,0.6905,0.7028,0.8699
"logistic_lasso_avg",0.7827,0.7161,0.6905,0.7031,0.8699
"top3_avg",0.779,0.7128,0.6816,0.6968,0.8694
"logistic_ridge_avg",0.7767,0.7113,0.6744,0.6924,0.8689
"ridge",0.775,0.71,0.6699,0.6894,0.8662
"naive_bayes",0.7417,0.6314,0.737,0.6801,NA
"knn_k5",0.6897,0.6049,0.4821,0.5366,NA
